job,marital,education,default,age,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
unknown,single,unknown,no,42,1316,no,no,unknown,5,jun,285,1,-1,0,unknown,no
technician,divorced,secondary,no,51,1,yes,no,unknown,5,jun,290,1,-1,0,unknown,no
unemployed,married,secondary,no,42,202,no,no,unknown,5,jun,257,1,-1,0,unknown,no
technician,married,secondary,no,42,769,no,no,unknown,5,jun,90,1,-1,0,unknown,no
housemaid,married,primary,no,59,495,no,no,unknown,5,jun,150,2,-1,0,unknown,no
management,married,tertiary,no,48,2960,no,no,unknown,5,jun,86,1,-1,0,unknown,no
housemaid,divorced,primary,no,57,3063,no,no,unknown,5,jun,21,1,-1,0,unknown,no
retired,married,primary,no,56,842,no,yes,unknown,5,jun,108,1,-1,0,unknown,no
blue-collar,single,primary,no,48,316,no,no,unknown,5,jun,560,2,-1,0,unknown,no
blue-collar,married,unknown,no,59,139,no,no,unknown,5,jun,153,1,-1,0,unknown,no
blue-collar,married,secondary,no,36,346,yes,no,unknown,5,jun,202,1,-1,0,unknown,no
blue-collar,single,secondary,no,43,318,yes,no,unknown,5,jun,736,2,-1,0,unknown,yes
unemployed,married,tertiary,no,44,1151,yes,no,unknown,5,jun,127,2,-1,0,unknown,no
management,married,tertiary,no,47,0,no,no,unknown,5,jun,265,2,-1,0,unknown,no
management,single,tertiary,no,27,703,yes,no,unknown,5,jun,590,3,-1,0,unknown,yes
blue-collar,married,secondary,no,60,40,no,no,unknown,5,jun,126,2,-1,0,unknown,no
unknown,married,primary,no,59,1470,no,no,unknown,5,jun,74,1,-1,0,unknown,no
housemaid,married,primary,no,42,0,no,yes,unknown,5,jun,48,2,-1,0,unknown,no
entrepreneur,single,tertiary,no,35,1800,yes,no,unknown,5,jun,53,1,-1,0,unknown,no
services,married,secondary,no,45,0,no,yes,unknown,5,jun,370,2,-1,0,unknown,no
retired,married,secondary,no,60,4820,no,no,unknown,5,jun,419,1,-1,0,unknown,no
management,divorced,tertiary,no,38,4207,no,no,unknown,5,jun,355,1,-1,0,unknown,no
unemployed,divorced,secondary,no,53,1242,no,no,unknown,5,jun,280,1,-1,0,unknown,no
technician,single,secondary,no,37,0,no,no,unknown,5,jun,80,2,-1,0,unknown,no
entrepreneur,married,tertiary,no,54,11464,no,no,unknown,5,jun,222,1,-1,0,unknown,no
services,married,secondary,no,39,0,no,no,unknown,5,jun,251,1,-1,0,unknown,no
services,married,secondary,no,45,6397,yes,no,unknown,5,jun,117,2,-1,0,unknown,no
admin.,single,secondary,no,42,2758,yes,no,unknown,5,jun,237,3,-1,0,unknown,no
management,married,unknown,no,50,3304,no,no,unknown,5,jun,1009,2,-1,0,unknown,no
blue-collar,married,primary,yes,47,0,no,no,unknown,5,jun,148,2,-1,0,unknown,no
services,divorced,secondary,no,38,61,no,no,unknown,5,jun,636,1,-1,0,unknown,yes
blue-collar,married,secondary,no,42,865,no,yes,unknown,5,jun,81,1,-1,0,unknown,no
blue-collar,married,secondary,no,46,0,yes,no,unknown,5,jun,83,2,-1,0,unknown,no
blue-collar,married,secondary,no,39,3231,yes,yes,unknown,5,jun,164,2,-1,0,unknown,no
management,married,primary,no,56,7747,no,no,unknown,5,jun,103,2,-1,0,unknown,no
blue-collar,married,secondary,no,49,787,yes,no,unknown,5,jun,280,1,-1,0,unknown,no
admin.,single,secondary,no,39,0,yes,no,unknown,5,jun,22,1,-1,0,unknown,no
housemaid,married,unknown,no,61,0,no,no,unknown,5,jun,118,1,-1,0,unknown,no
blue-collar,married,primary,no,45,1227,no,no,unknown,5,jun,127,3,-1,0,unknown,no
blue-collar,single,secondary,no,32,226,yes,no,unknown,5,jun,426,5,-1,0,unknown,no
services,divorced,primary,no,53,3107,no,no,unknown,5,jun,152,1,-1,0,unknown,no
housemaid,married,primary,no,53,104,no,yes,unknown,5,jun,701,1,-1,0,unknown,yes
unemployed,single,primary,no,36,1201,yes,no,unknown,5,jun,57,1,-1,0,unknown,no
management,divorced,tertiary,no,37,168,yes,no,unknown,5,jun,227,1,-1,0,unknown,no
housemaid,divorced,secondary,no,54,1327,no,no,unknown,5,jun,115,2,-1,0,unknown,no
admin.,married,unknown,no,58,4318,no,no,unknown,5,jun,307,2,-1,0,unknown,no
blue-collar,married,primary,no,46,5164,yes,no,unknown,5,jun,267,11,-1,0,unknown,no
management,married,tertiary,no,49,414,yes,no,unknown,5,jun,155,3,-1,0,unknown,no
admin.,married,secondary,no,41,4320,yes,no,unknown,5,jun,245,2,-1,0,unknown,no
admin.,married,secondary,no,48,476,no,no,unknown,5,jun,489,3,-1,0,unknown,no
blue-collar,married,secondary,no,47,1996,no,no,unknown,5,jun,761,2,-1,0,unknown,yes
housemaid,divorced,primary,yes,56,1238,no,no,unknown,5,jun,1558,1,-1,0,unknown,yes
housemaid,married,secondary,no,41,879,no,no,unknown,5,jun,1053,2,-1,0,unknown,yes
blue-collar,married,secondary,no,37,196,yes,no,unknown,5,jun,66,3,-1,0,unknown,no
blue-collar,married,secondary,no,29,185,yes,yes,unknown,5,jun,471,3,-1,0,unknown,no
self-employed,married,secondary,no,29,425,yes,no,unknown,5,jun,562,15,-1,0,unknown,yes
management,married,primary,no,48,0,yes,no,unknown,5,jun,107,1,-1,0,unknown,no
entrepreneur,single,tertiary,no,30,734,yes,no,unknown,5,jun,113,3,-1,0,unknown,no
technician,single,secondary,no,37,255,no,no,unknown,5,jun,447,2,-1,0,unknown,no
admin.,married,secondary,no,38,4458,yes,no,unknown,5,jun,215,1,-1,0,unknown,no
blue-collar,married,secondary,no,60,71,no,no,unknown,5,jun,185,1,-1,0,unknown,no
entrepreneur,married,secondary,no,37,351,yes,no,unknown,5,jun,169,3,-1,0,unknown,no
services,married,secondary,no,39,0,yes,no,unknown,5,jun,620,2,-1,0,unknown,no
management,single,tertiary,no,55,7025,no,no,unknown,5,jun,139,3,-1,0,unknown,no
blue-collar,married,primary,no,40,743,no,no,unknown,5,jun,18,2,-1,0,unknown,no
unemployed,married,primary,no,51,0,no,no,unknown,5,jun,23,2,-1,0,unknown,no
housemaid,divorced,secondary,no,33,-18,yes,no,unknown,5,jun,27,8,-1,0,unknown,no
blue-collar,married,secondary,no,55,660,no,no,unknown,5,jun,348,1,-1,0,unknown,no
technician,married,secondary,no,26,-293,yes,yes,unknown,5,jun,64,2,-1,0,unknown,no
self-employed,married,unknown,no,38,10855,no,no,unknown,5,jun,57,2,-1,0,unknown,no
blue-collar,married,secondary,no,38,0,no,no,unknown,5,jun,71,1,-1,0,unknown,no
blue-collar,married,primary,no,36,130,yes,no,unknown,5,jun,96,2,-1,0,unknown,no
services,single,secondary,no,43,848,no,no,unknown,5,jun,168,2,-1,0,unknown,no
unknown,single,unknown,no,36,1070,no,no,unknown,5,jun,346,3,-1,0,unknown,no
technician,married,unknown,no,48,460,no,no,unknown,5,jun,99,3,-1,0,unknown,no
services,single,tertiary,no,38,1222,yes,no,unknown,5,jun,237,2,-1,0,unknown,no
services,divorced,secondary,no,44,-389,yes,yes,unknown,5,jun,52,1,-1,0,unknown,no
blue-collar,single,primary,no,37,0,yes,no,unknown,5,jun,309,2,-1,0,unknown,no
blue-collar,married,secondary,no,58,0,no,no,unknown,5,jun,267,2,-1,0,unknown,no
services,married,secondary,no,38,2600,no,no,unknown,5,jun,27,2,-1,0,unknown,no
blue-collar,married,unknown,no,37,1795,yes,no,unknown,5,jun,511,1,-1,0,unknown,no
blue-collar,single,secondary,no,45,143,no,no,unknown,5,jun,201,1,-1,0,unknown,no
technician,married,secondary,no,46,792,no,no,unknown,5,jun,170,2,-1,0,unknown,no
services,married,primary,no,29,549,yes,no,unknown,5,jun,61,2,-1,0,unknown,no
admin.,married,secondary,no,39,15,no,no,unknown,5,jun,256,2,-1,0,unknown,no
admin.,married,secondary,no,41,21515,yes,no,unknown,5,jun,87,1,-1,0,unknown,no
management,married,tertiary,no,44,588,yes,no,unknown,5,jun,245,2,-1,0,unknown,no
services,single,secondary,no,48,220,no,no,unknown,5,jun,1005,2,-1,0,unknown,no
unknown,single,secondary,no,39,914,no,no,unknown,5,jun,20,1,-1,0,unknown,no
admin.,married,secondary,no,48,1099,no,yes,unknown,5,jun,340,1,-1,0,unknown,no
admin.,single,unknown,no,36,1815,no,no,unknown,5,jun,387,1,-1,0,unknown,no
technician,married,secondary,no,44,1210,no,no,unknown,5,jun,690,2,-1,0,unknown,no
admin.,married,secondary,no,37,637,no,no,unknown,5,jun,1084,1,-1,0,unknown,no
retired,married,primary,no,56,855,no,no,unknown,5,jun,140,2,-1,0,unknown,no
services,single,secondary,no,39,117,yes,no,unknown,5,jun,190,2,-1,0,unknown,no
technician,divorced,tertiary,no,50,1044,no,no,unknown,5,jun,400,2,-1,0,unknown,no
blue-collar,married,secondary,no,41,1459,no,no,unknown,5,jun,82,1,-1,0,unknown,no
entrepreneur,divorced,tertiary,no,48,275,no,yes,unknown,5,jun,34,1,-1,0,unknown,no
housemaid,married,primary,no,59,500,no,no,unknown,5,jun,94,1,-1,0,unknown,no
entrepreneur,single,primary,no,50,1659,no,no,unknown,5,jun,221,2,-1,0,unknown,no
self-employed,married,secondary,no,36,4579,yes,no,unknown,5,jun,563,1,-1,0,unknown,no
services,single,secondary,no,40,1038,no,no,unknown,5,jun,741,1,-1,0,unknown,no
admin.,single,secondary,no,55,533,no,no,unknown,5,jun,40,2,-1,0,unknown,no
management,married,primary,no,52,0,no,no,unknown,5,jun,85,3,-1,0,unknown,no
management,single,secondary,no,40,269,no,no,unknown,5,jun,128,1,-1,0,unknown,no
housemaid,married,secondary,no,50,34,yes,no,unknown,5,jun,163,1,-1,0,unknown,no
management,married,primary,no,59,3694,yes,no,unknown,5,jun,21,10,-1,0,unknown,no
management,married,tertiary,no,52,1111,no,no,unknown,5,jun,17,1,-1,0,unknown,no
unemployed,married,secondary,no,40,1779,yes,no,unknown,5,jun,59,7,-1,0,unknown,no
retired,married,tertiary,no,55,2996,no,no,unknown,5,jun,49,1,-1,0,unknown,no
retired,married,secondary,no,53,1554,no,no,unknown,5,jun,138,1,-1,0,unknown,no
self-employed,married,tertiary,no,40,1750,no,no,unknown,5,jun,197,1,-1,0,unknown,no
self-employed,married,secondary,no,35,188,yes,yes,unknown,5,jun,1865,2,-1,0,unknown,yes
admin.,married,secondary,no,24,541,yes,no,unknown,5,jun,622,4,-1,0,unknown,no
management,married,tertiary,no,53,652,no,no,unknown,5,jun,91,1,-1,0,unknown,no
services,married,secondary,no,52,91,yes,no,unknown,5,jun,175,4,-1,0,unknown,no
admin.,single,secondary,no,38,3239,no,no,unknown,5,jun,817,2,-1,0,unknown,yes
technician,married,secondary,no,44,358,no,no,unknown,5,jun,179,1,-1,0,unknown,no
blue-collar,divorced,primary,yes,39,-294,yes,no,unknown,5,jun,181,2,-1,0,unknown,no
retired,divorced,secondary,no,45,229,no,no,unknown,5,jun,181,2,-1,0,unknown,no
blue-collar,married,secondary,no,32,95,yes,no,unknown,5,jun,77,2,-1,0,unknown,no
management,married,tertiary,no,48,1733,no,no,unknown,5,jun,318,3,-1,0,unknown,no
unknown,married,primary,no,37,808,no,no,unknown,5,jun,228,2,-1,0,unknown,no
management,married,primary,no,59,2269,no,yes,unknown,5,jun,158,1,-1,0,unknown,no
admin.,married,secondary,no,35,214,yes,yes,unknown,5,jun,247,1,-1,0,unknown,no
blue-collar,married,secondary,no,37,0,no,yes,unknown,5,jun,1302,13,-1,0,unknown,no
technician,married,tertiary,no,41,13,no,no,unknown,5,jun,189,2,-1,0,unknown,no
services,married,secondary,no,45,1550,yes,no,unknown,5,jun,127,6,-1,0,unknown,no
management,divorced,secondary,no,43,130,yes,no,unknown,5,jun,63,3,-1,0,unknown,no
management,married,tertiary,no,42,477,yes,no,unknown,5,jun,517,3,-1,0,unknown,no
blue-collar,married,primary,no,59,8562,no,no,unknown,5,jun,86,2,-1,0,unknown,no
retired,married,secondary,no,58,150,yes,no,unknown,5,jun,420,4,-1,0,unknown,no
self-employed,married,secondary,no,41,20,no,no,unknown,5,jun,333,1,-1,0,unknown,no
technician,single,tertiary,no,38,-572,yes,yes,unknown,5,jun,26,24,-1,0,unknown,no
admin.,married,secondary,no,38,884,yes,no,unknown,5,jun,57,2,-1,0,unknown,no
self-employed,single,secondary,no,57,3277,no,no,unknown,5,jun,127,4,-1,0,unknown,no
services,married,secondary,no,40,429,no,no,unknown,5,jun,272,2,-1,0,unknown,no
unemployed,married,primary,no,44,97,yes,no,unknown,5,jun,105,3,-1,0,unknown,no
management,married,tertiary,no,33,113,yes,no,unknown,5,jun,101,11,-1,0,unknown,no
blue-collar,divorced,secondary,no,36,-11,no,no,unknown,5,jun,152,2,-1,0,unknown,no
blue-collar,single,unknown,no,39,3583,no,no,unknown,5,jun,97,2,-1,0,unknown,no
unemployed,married,tertiary,no,55,457,yes,no,unknown,5,jun,61,3,-1,0,unknown,no
unknown,married,unknown,no,53,1347,no,no,unknown,5,jun,92,2,-1,0,unknown,no
blue-collar,married,secondary,no,45,146,yes,yes,unknown,5,jun,22,15,-1,0,unknown,no
technician,married,secondary,no,50,416,yes,no,unknown,5,jun,494,5,-1,0,unknown,yes
blue-collar,single,primary,no,39,323,yes,no,unknown,5,jun,138,3,-1,0,unknown,no
blue-collar,married,primary,no,39,12848,yes,no,unknown,5,jun,337,2,-1,0,unknown,no
technician,married,secondary,no,49,550,yes,no,unknown,5,jun,412,2,-1,0,unknown,no
technician,married,secondary,yes,30,-1019,yes,no,unknown,5,jun,955,4,-1,0,unknown,no
blue-collar,divorced,primary,no,45,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
blue-collar,single,secondary,no,38,68,no,no,unknown,5,jun,90,2,-1,0,unknown,no
blue-collar,married,secondary,no,42,698,no,no,unknown,5,jun,729,2,-1,0,unknown,no
admin.,single,secondary,no,36,-17,yes,no,unknown,5,jun,159,2,-1,0,unknown,no
services,married,secondary,no,30,311,yes,yes,unknown,5,jun,94,4,-1,0,unknown,no
entrepreneur,married,primary,no,53,943,yes,yes,unknown,5,jun,314,2,-1,0,unknown,no
management,married,tertiary,no,36,1357,yes,no,unknown,5,jun,74,5,-1,0,unknown,no
management,married,primary,no,56,0,no,no,unknown,5,jun,153,2,-1,0,unknown,no
unemployed,married,primary,no,44,280,yes,no,unknown,5,jun,193,2,-1,0,unknown,no
admin.,married,secondary,no,58,1464,yes,yes,unknown,5,jun,53,29,-1,0,unknown,no
technician,single,secondary,no,39,1820,no,no,unknown,5,jun,231,2,-1,0,unknown,no
management,married,unknown,no,55,0,no,no,unknown,5,jun,353,2,-1,0,unknown,no
blue-collar,single,primary,no,39,1537,no,yes,unknown,5,jun,805,2,-1,0,unknown,no
admin.,married,secondary,no,49,1677,no,no,unknown,5,jun,19,3,-1,0,unknown,no
technician,married,primary,no,51,223,yes,no,unknown,5,jun,131,3,-1,0,unknown,no
admin.,married,secondary,no,39,1595,yes,no,unknown,5,jun,102,2,-1,0,unknown,no
technician,divorced,secondary,no,53,12,no,no,unknown,5,jun,150,2,-1,0,unknown,no
management,married,tertiary,no,41,140,yes,no,unknown,5,jun,65,3,-1,0,unknown,no
admin.,single,secondary,no,35,2452,yes,no,unknown,5,jun,91,2,-1,0,unknown,no
self-employed,single,tertiary,no,37,281,yes,no,unknown,5,jun,869,2,-1,0,unknown,no
entrepreneur,married,secondary,no,35,2074,yes,no,unknown,5,jun,144,7,-1,0,unknown,no
services,married,secondary,no,38,5,no,no,unknown,5,jun,115,2,-1,0,unknown,no
management,married,tertiary,no,41,1304,yes,no,unknown,5,jun,93,3,-1,0,unknown,no
blue-collar,married,secondary,no,35,860,yes,no,unknown,5,jun,884,4,-1,0,unknown,yes
blue-collar,married,secondary,no,26,986,yes,no,unknown,5,jun,209,3,-1,0,unknown,no
blue-collar,married,secondary,no,41,0,no,no,unknown,5,jun,85,2,-1,0,unknown,no
housemaid,married,primary,no,58,419,no,yes,unknown,5,jun,295,3,-1,0,unknown,no
blue-collar,married,secondary,no,58,266,yes,no,unknown,5,jun,319,6,-1,0,unknown,no
technician,married,tertiary,no,42,1189,no,no,unknown,5,jun,323,3,-1,0,unknown,no
unemployed,married,secondary,no,40,3924,no,no,unknown,5,jun,648,2,-1,0,unknown,no
self-employed,single,tertiary,no,52,1623,yes,no,unknown,5,jun,21,17,-1,0,unknown,no
services,married,unknown,no,51,518,no,no,unknown,5,jun,312,3,-1,0,unknown,no
retired,married,primary,no,57,3594,no,no,unknown,5,jun,162,2,-1,0,unknown,no
management,married,unknown,no,46,2296,no,no,unknown,5,jun,67,2,-1,0,unknown,no
technician,single,secondary,no,29,3313,yes,no,unknown,5,jun,18,3,-1,0,unknown,no
blue-collar,married,primary,no,40,1613,yes,no,unknown,5,jun,541,3,-1,0,unknown,no
management,married,tertiary,no,36,-661,yes,yes,unknown,5,jun,221,3,-1,0,unknown,no
blue-collar,married,primary,no,55,2171,no,no,unknown,5,jun,138,2,-1,0,unknown,no
management,single,tertiary,no,32,1742,no,no,unknown,5,jun,231,2,-1,0,unknown,no
admin.,married,primary,no,58,549,no,no,unknown,5,jun,82,2,-1,0,unknown,no
student,single,tertiary,no,38,1523,yes,no,unknown,5,jun,17,16,-1,0,unknown,no
admin.,single,secondary,no,46,1790,yes,no,unknown,5,jun,214,5,-1,0,unknown,no
technician,married,secondary,no,44,363,no,yes,unknown,5,jun,650,2,-1,0,unknown,no
services,single,secondary,no,26,512,yes,yes,unknown,5,jun,75,3,-1,0,unknown,no
management,married,tertiary,no,37,636,no,yes,unknown,5,jun,338,2,-1,0,unknown,no
technician,married,primary,no,57,0,no,no,unknown,5,jun,58,8,-1,0,unknown,no
admin.,single,unknown,no,28,731,yes,no,unknown,5,jun,718,13,-1,0,unknown,no
blue-collar,married,unknown,no,47,3460,yes,no,unknown,5,jun,394,2,-1,0,unknown,no
entrepreneur,married,primary,no,40,4674,no,no,unknown,5,jun,160,2,-1,0,unknown,no
blue-collar,married,primary,no,35,3279,no,no,unknown,5,jun,240,2,-1,0,unknown,no
blue-collar,married,primary,no,40,12,yes,no,unknown,5,jun,54,26,-1,0,unknown,no
admin.,single,primary,no,39,2805,no,no,unknown,5,jun,288,2,-1,0,unknown,no
student,single,primary,no,24,0,no,no,unknown,5,jun,25,26,-1,0,unknown,no
blue-collar,single,secondary,no,34,1848,yes,no,unknown,5,jun,131,10,-1,0,unknown,no
management,single,tertiary,no,34,125,yes,yes,unknown,5,jun,18,31,-1,0,unknown,no
technician,married,secondary,no,38,635,no,no,unknown,5,jun,31,5,-1,0,unknown,no
management,divorced,secondary,no,55,394,no,no,unknown,5,jun,119,3,-1,0,unknown,no
technician,single,tertiary,no,39,1646,yes,no,unknown,5,jun,474,2,-1,0,unknown,no
blue-collar,married,secondary,no,44,249,yes,yes,unknown,5,jun,173,3,-1,0,unknown,no
self-employed,married,tertiary,no,45,334,no,no,unknown,5,jun,87,2,-1,0,unknown,no
admin.,married,secondary,no,47,407,yes,no,unknown,5,jun,67,12,-1,0,unknown,no
blue-collar,married,primary,no,46,2093,no,no,unknown,5,jun,128,2,-1,0,unknown,no
blue-collar,married,primary,no,53,0,yes,no,unknown,5,jun,285,2,-1,0,unknown,no
admin.,married,secondary,no,51,1699,no,no,unknown,5,jun,153,2,-1,0,unknown,no
management,single,tertiary,no,59,911,no,yes,unknown,5,jun,172,2,-1,0,unknown,no
blue-collar,married,primary,no,39,3127,yes,yes,unknown,5,jun,451,2,-1,0,unknown,no
blue-collar,married,primary,no,52,-133,no,no,unknown,5,jun,96,2,-1,0,unknown,no
blue-collar,single,unknown,no,39,2841,yes,no,unknown,5,jun,1121,3,-1,0,unknown,no
blue-collar,married,primary,no,41,2770,yes,yes,unknown,5,jun,191,2,-1,0,unknown,no
blue-collar,married,secondary,no,42,-355,yes,yes,unknown,5,jun,939,6,-1,0,unknown,no
self-employed,married,tertiary,no,42,21861,no,no,unknown,5,jun,486,2,-1,0,unknown,no
management,married,secondary,no,52,3258,no,no,unknown,5,jun,234,3,-1,0,unknown,no
unemployed,married,primary,no,47,122,no,yes,unknown,5,jun,240,3,-1,0,unknown,no
self-employed,divorced,secondary,yes,39,-103,no,yes,unknown,5,jun,210,3,-1,0,unknown,no
blue-collar,married,secondary,no,42,230,yes,no,unknown,5,jun,175,7,-1,0,unknown,no
admin.,married,primary,no,38,3,yes,yes,unknown,5,jun,124,2,-1,0,unknown,no
services,single,secondary,no,39,609,no,no,unknown,5,jun,372,1,-1,0,unknown,no
housemaid,single,secondary,no,35,1015,yes,no,unknown,5,jun,406,2,-1,0,unknown,yes
technician,married,primary,yes,58,-247,no,no,unknown,6,jun,179,1,-1,0,unknown,no
management,divorced,tertiary,no,56,0,no,no,unknown,6,jun,463,4,-1,0,unknown,no
management,married,tertiary,no,46,625,yes,no,unknown,6,jun,127,1,-1,0,unknown,no
technician,divorced,secondary,no,60,0,no,no,unknown,6,jun,105,1,-1,0,unknown,no
unknown,married,secondary,no,39,1701,no,no,unknown,6,jun,140,1,-1,0,unknown,no
entrepreneur,single,tertiary,no,48,2313,no,no,unknown,6,jun,130,1,-1,0,unknown,no
blue-collar,married,secondary,no,39,599,yes,no,unknown,6,jun,53,1,-1,0,unknown,no
blue-collar,single,secondary,no,41,656,no,no,unknown,6,jun,178,1,-1,0,unknown,no
services,married,secondary,no,36,1328,yes,no,unknown,6,jun,82,4,-1,0,unknown,no
management,single,secondary,no,44,13,no,no,unknown,6,jun,116,11,-1,0,unknown,no
services,married,secondary,no,32,21,no,no,unknown,6,jun,144,15,-1,0,unknown,no
services,single,secondary,no,37,2571,no,no,unknown,6,jun,40,2,-1,0,unknown,no
management,married,tertiary,no,51,12,no,no,unknown,6,jun,90,4,-1,0,unknown,no
blue-collar,married,primary,no,32,1138,yes,yes,unknown,6,jun,164,4,-1,0,unknown,no
services,married,secondary,no,41,-140,no,yes,unknown,6,jun,190,1,-1,0,unknown,no
management,single,secondary,no,26,565,yes,no,unknown,6,jun,582,11,-1,0,unknown,no
blue-collar,married,secondary,no,38,2836,no,no,unknown,6,jun,116,3,-1,0,unknown,no
housemaid,married,primary,no,36,122,no,no,unknown,6,jun,78,1,-1,0,unknown,no
unknown,single,secondary,no,39,0,no,no,unknown,6,jun,188,1,-1,0,unknown,no
services,married,primary,no,56,444,yes,no,unknown,6,jun,432,1,-1,0,unknown,no
self-employed,married,tertiary,no,39,1047,no,no,unknown,6,jun,554,1,-1,0,unknown,yes
housemaid,married,primary,no,52,1837,no,no,unknown,6,jun,118,1,-1,0,unknown,no
blue-collar,divorced,primary,no,30,1,yes,no,unknown,6,jun,63,9,-1,0,unknown,no
management,single,tertiary,no,25,490,yes,no,unknown,6,jun,246,3,-1,0,unknown,no
retired,married,secondary,no,60,-1110,yes,no,unknown,6,jun,143,2,-1,0,unknown,no
blue-collar,married,secondary,no,38,0,no,no,unknown,6,jun,361,1,-1,0,unknown,no
entrepreneur,married,secondary,no,54,2791,no,no,unknown,6,jun,94,1,-1,0,unknown,no
services,single,secondary,no,40,546,yes,no,unknown,6,jun,219,1,-1,0,unknown,no
blue-collar,married,primary,no,37,27,no,no,unknown,6,jun,80,1,-1,0,unknown,no
entrepreneur,married,tertiary,no,43,5506,no,yes,unknown,6,jun,141,1,-1,0,unknown,no
management,divorced,unknown,no,39,401,no,no,unknown,6,jun,126,1,-1,0,unknown,no
blue-collar,married,primary,no,33,3704,yes,no,unknown,6,jun,447,2,-1,0,unknown,no
blue-collar,married,secondary,no,28,708,yes,no,unknown,6,jun,339,5,-1,0,unknown,no
services,single,secondary,no,27,482,yes,no,unknown,6,jun,220,2,-1,0,unknown,no
management,divorced,tertiary,no,44,0,no,no,unknown,6,jun,373,1,-1,0,unknown,no
management,married,tertiary,no,38,881,no,yes,unknown,6,jun,79,2,-1,0,unknown,no
technician,married,secondary,no,41,118,no,no,unknown,6,jun,339,1,-1,0,unknown,no
admin.,married,secondary,no,44,248,no,no,unknown,6,jun,18,1,-1,0,unknown,no
management,married,tertiary,no,54,884,yes,no,unknown,6,jun,91,1,-1,0,unknown,no
technician,single,tertiary,no,30,799,yes,yes,unknown,6,jun,91,18,-1,0,unknown,no
blue-collar,married,primary,no,39,0,no,no,unknown,6,jun,178,1,-1,0,unknown,no
self-employed,married,primary,no,51,10,no,no,unknown,6,jun,513,3,-1,0,unknown,no
blue-collar,married,secondary,no,38,292,yes,yes,unknown,6,jun,84,2,-1,0,unknown,no
management,single,secondary,no,36,992,no,no,unknown,6,jun,351,1,-1,0,unknown,no
blue-collar,single,secondary,no,36,1012,yes,yes,unknown,6,jun,399,1,-1,0,unknown,no
management,single,secondary,no,35,0,no,no,unknown,6,jun,19,1,-1,0,unknown,no
self-employed,single,tertiary,no,37,984,no,no,unknown,6,jun,334,1,-1,0,unknown,no
blue-collar,single,primary,no,50,1743,yes,no,unknown,6,jun,49,5,-1,0,unknown,no
management,married,secondary,no,38,794,yes,no,unknown,6,jun,50,3,-1,0,unknown,no
management,single,tertiary,no,40,383,yes,no,unknown,6,jun,106,5,-1,0,unknown,no
unknown,married,unknown,no,46,2505,no,no,unknown,6,jun,135,2,-1,0,unknown,no
admin.,married,secondary,no,39,441,no,no,unknown,6,jun,101,2,-1,0,unknown,no
blue-collar,married,primary,no,48,72,yes,no,unknown,6,jun,114,5,-1,0,unknown,no
unknown,married,primary,no,38,0,no,no,unknown,6,jun,414,2,-1,0,unknown,no
blue-collar,single,secondary,no,38,1230,yes,no,unknown,6,jun,266,2,-1,0,unknown,no
unknown,married,tertiary,no,58,4150,no,no,unknown,6,jun,363,1,-1,0,unknown,no
technician,single,unknown,no,31,694,yes,no,unknown,6,jun,431,2,-1,0,unknown,no
management,married,tertiary,no,51,9796,no,yes,unknown,6,jun,110,1,-1,0,unknown,no
housemaid,divorced,primary,no,41,9059,no,no,unknown,6,jun,113,1,-1,0,unknown,no
blue-collar,single,secondary,no,26,940,yes,no,unknown,6,jun,237,3,-1,0,unknown,no
technician,single,secondary,no,26,639,yes,no,unknown,6,jun,709,5,-1,0,unknown,yes
admin.,married,secondary,no,26,710,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,yes
admin.,married,secondary,no,28,-156,yes,no,unknown,6,jun,161,5,-1,0,unknown,no
blue-collar,married,secondary,no,38,926,no,yes,unknown,6,jun,189,3,-1,0,unknown,no
management,married,tertiary,no,53,6408,no,no,unknown,6,jun,29,1,-1,0,unknown,no
management,married,tertiary,no,56,3039,no,no,unknown,6,jun,420,2,-1,0,unknown,no
admin.,single,secondary,no,27,685,yes,no,unknown,6,jun,672,2,-1,0,unknown,no
blue-collar,divorced,primary,no,48,0,no,no,unknown,6,jun,248,2,-1,0,unknown,no
unknown,divorced,unknown,no,56,2152,no,no,unknown,6,jun,67,1,-1,0,unknown,no
blue-collar,married,unknown,no,37,1508,no,yes,unknown,6,jun,381,2,-1,0,unknown,yes
blue-collar,married,secondary,no,41,901,yes,no,unknown,6,jun,80,3,-1,0,unknown,no
blue-collar,married,primary,no,38,8251,no,no,unknown,6,jun,194,3,-1,0,unknown,no
technician,single,secondary,no,29,778,yes,no,unknown,6,jun,1994,2,-1,0,unknown,no
blue-collar,married,secondary,no,43,101,no,no,unknown,6,jun,153,1,-1,0,unknown,no
housemaid,married,primary,no,60,161,no,no,unknown,6,jun,183,1,-1,0,unknown,no
admin.,married,secondary,no,36,4785,no,yes,unknown,6,jun,250,1,-1,0,unknown,no
admin.,single,secondary,no,38,3823,no,no,unknown,6,jun,81,5,-1,0,unknown,no
technician,married,secondary,no,40,-282,yes,no,unknown,6,jun,223,3,-1,0,unknown,no
entrepreneur,married,primary,no,58,1657,no,no,unknown,6,jun,172,2,-1,0,unknown,no
blue-collar,divorced,secondary,no,41,1491,yes,no,unknown,6,jun,100,2,-1,0,unknown,no
